course_id,category_id,original_name,suggested_display_name,display_status,suggested_course_family,family_status,family_confidence,overall_status,data_quality_status,recommended_action,quality_reason,suggestion_source,note
1606,176," Database System Implementation","Database System Implementation",approved,,none,,approved_display,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",safe_formatting,"Normalized outer, repeated, or non-breaking whitespace."
1170,95," T1MSB-S1-T1MSBIT-Supervise application of basic computer software such as Ms Office and e-mail","T1MSB-S1-T1MSBIT-Supervise application of basic computer software such as Ms Office and e-mail",approved,"Supervise application of basic computer software such as Ms Office and e-mail",review,low,review_family,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",conservative_pattern,"Normalized outer, repeated, or non-breaking whitespace. Automatically extracted from course-code, year, cohort, teacher, or duplicate-instance text; review before import."
1317,90,"2023-24-I2TC-S1-DTCI21DSP Data Structure and Programming I","2023-24-I2TC-S1-DTCI21DSP Data Structure and Programming I",unchanged,"Data Structure and Programming",review,medium,review_family,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",provided_cleanup_csv,"Use as an analytics family; preserve level, exam, semester, teacher, or cohort details in the display name."
1553,90,"2023-24-I2TC-S2-DTCI22DSP Data Structure and Programming II","2023-24-I2TC-S2-DTCI22DSP Data Structure and Programming II",unchanged,"Data Structure and Programming",review,medium,review_family,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",provided_cleanup_csv,"Use as an analytics family; preserve level, exam, semester, teacher, or cohort details in the display name."
1696,90,"2024-25-I2TC-S1-DTCI21DSP Data Structure and Programming I-ccun","2024-25-I2TC-S1-DTCI21DSP Data Structure and Programming I-ccun",unchanged,"Data Structure and Programming",review,medium,review_family,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",provided_cleanup_csv,"Use as an analytics family; preserve level, exam, semester, teacher, or cohort details in the display name."
1802,90,"2024-25-I2TC-S2-DTCI22DSP Data Structure and Programming II-ccun","2024-25-I2TC-S2-DTCI22DSP Data Structure and Programming II-ccun",unchanged,"Data Structure and Programming",review,medium,review_family,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",provided_cleanup_csv,"Use as an analytics family; preserve level, exam, semester, teacher, or cohort details in the display name."
28,15,"A Versatile Machine","A Versatile Machine",unchanged,,none,,unchanged,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",none,
1583,191,"ACC101 Principles of Accounting & Practice","ACC101 Principles of Accounting & Practice",unchanged,"Principles of Accounting & Practice",review,low,review_family,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",conservative_pattern,"Automatically extracted from course-code, year, cohort, teacher, or duplicate-instance text; review before import."
1579,182,"Advance Java Programming","Advance Java Programming",unchanged,,none,,unchanged,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",none,
1633,381,"Advanced Object Programming Language","Advanced Object Programming Language",unchanged,,none,,unchanged,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",none,
1628,384,"Advanced Programming Language (C++)","Advanced Programming Language (C++)",unchanged,,none,,unchanged,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",none,
25,13,"Agrarian System Analysis And Diagnosis","Agrarian System Analysis And Diagnosis",unchanged,,none,,unchanged,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",none,
23,13,"Agrarian Transition And Opportunity Windows For Agroecological Innovation","Agrarian Transition And Opportunity Windows For Agroecological Innovation",unchanged,,none,,unchanged,valid_candidate,keep,"No obvious demo, test, placeholder, or restoration marker.",none,
